sentence_id,dialect,sentence,tokens,pos_tags,token_count
0,MSA,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,verb_pseudo prep adj noun punc part_fut verb prep adj noun adv punc conj_sub verb part noun adj adv verb punc,20
2,MSA,هل تقومون بعمل تعديلات ؟,هل تقومون بعمل تعديلات ؟,part_interrog verb noun noun punc,5
4,MSA,نريد مائدة بجانب النافذة .,نريد مائدة بجانب النافذة .,verb noun noun noun punc,5
5,MSA,هناك ، أمام بيانات السائح تماما .,هناك ،/ أمام بيانات السائح تماما .,adv UNK prep noun noun adv punc,7
9,MSA,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,part_neg verb pron_dem noun prep noun prep prep adv punc,10
11,MSA,استمر في السير في هذا الطريق حتى تجد صيدلية .,استمر في السير في هذا الطريق حتى تجد صيدلية .,verb prep noun prep pron_dem noun conj_sub verb noun punc,10
12,MSA,ما هو أحدث لون هذا الموسم .,ما هو أحدث لون هذا الموسم .,pron_interrog pron adj noun pron_dem noun punc,7
14,MSA,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,prep noun punc adv adv verb prep prep noun adv adv verb noun punc,14
15,MSA,سأقيم لمدة يومين .,سأقيم لمدة يومين .,verb noun noun punc,4
16,MSA,أريد تمويج متقارب بشعري,أريد تمويج متقارب بشعري,verb noun adj noun,4
17,MSA,أريد حجز غرفتين مزدوجتين .,أريد حجز غرفتين مزدوجتين .,verb noun noun adj punc,5
18,MSA,لا أريد إزالتها .,لا أريد إزالتها .,part_neg verb noun punc,4
19,MSA,هل هذه الحافلة تتوقف في شارع أستونر ؟,هل هذه الحافلة تتوقف في شارع أستونر ؟,part_interrog pron_dem noun verb prep noun noun_prop punc,8
24,MSA,من فضلك افتح فمك على مداه .,من فضلك افتح فمك على مداه .,prep noun verb noun prep noun punc,7
26,MSA,كم تكلفة الإفطار ؟,كم تكلفة الإفطار ؟,adv_interrog noun noun punc,4
27,MSA,كيف أستطيع مساعدتك ؟,كيف أستطيع مساعدتك ؟,adv_interrog verb noun punc,4
29,MSA,دعنا نأخذ قطعة لنأكلها .,دعنا نأخذ قطعة لنأكلها .,verb verb noun verb punc,5
30,MSA,اتجه يسارا عند الناصية الثالثة .,اتجه يسارا عند الناصية الثالثة .,verb adv prep noun adj punc,6
31,MSA,هل لك أن تقوم بتنظيف هذه الملابس ؟,هل لك أن تقوم بتنظيف هذه الملابس ؟,part_interrog prep conj_sub verb noun pron_dem noun punc,8
37,MSA,أعطيك رقم تليفونه وعنوانه .,أعطيك رقم تليفونه وعنوانه .,verb noun noun noun punc,5
38,MSA,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,part_verb verb noun noun noun noun noun adv punc,9
40,MSA,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,verb prep noun adj punc noun punc part_interrog verb conj_sub verb prep noun pron_dem noun prep noun punc,18
42,MSA,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,pron verb noun punc pron pron_rel verb punc,8
46,MSA,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,part_fut verb conj_sub verb prep noun conj_sub verb punc,9
50,MSA,هل تحب أن تضع قشدة وسكر في قهوتك ؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟,part_interrog verb conj_sub verb noun noun prep noun punc,9
51,MSA,لقد أصيبت إصابة بالغة .,لقد أصيبت إصابة بالغة .,part_verb verb noun adj punc,5
52,MSA,أريد قداحة .,أريد قداحة .,verb noun punc,3
53,MSA,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,part_interrog prep pron_dem noun noun noun punc,7
56,MSA,هل من المناسب أن نتناول وجبة خفيفة ؟,هل من المناسب أن نتناول وجبة خفيفة ؟,part_interrog prep adj conj_sub verb noun adj punc,8
57,MSA,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,pron verb prep noun punc verb adv prep noun_quant noun adj punc,12
62,MSA,أين سأغير إلى شيكاغو .,أين سأغير إلى شيكاغو .,adv_interrog verb prep noun_prop punc,5
63,MSA,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,pron_interrog noun noun noun adj prep noun_prop punc,8
64,MSA,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,part_interrog verb noun noun noun noun_num noun adj prep punc,10
68,MSA,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,conj_sub noun prep noun adj prep noun adj adv adv punc,11
69,MSA,كان الممثل رائعا بالفعل .,كان الممثل رائعا بالفعل .,verb_pseudo noun adj adv punc,5
72,MSA,أين الجانب غير الخيالي في شخصيتك ؟,أين الجانب غير الخيالي في شخصيتك ؟,adv_interrog noun adv adj prep noun punc,7
74,MSA,إذا حدث ذلك ، من فضلك أتصل بي .,إذا حدث ذلك ، من فضلك أتصل بي .,conj_sub verb pron_dem punc prep noun verb prep punc,9
78,MSA,هل يمكن أن تغير مقعدي من فضلك ؟,هل يمكن أن تغير مقعدي من فضلك ؟,part_interrog verb conj_sub verb noun prep noun punc,8
79,MSA,هل هناك ضمانا ؟,هل هناك ضمانا ؟,part_interrog adv noun punc,4
83,MSA,"عفوا , أنا سأعتني بالكلب .","عفوا , أنا سأعتني بالكلب .",interj punc pron verb noun punc,6
84,MSA,أريد تذكرتين للقطط ليوم الخميس .,أريد تذكرتين للقطط ليوم الخميس .,verb noun noun noun noun punc,6
86,MSA,أين المقهى ؟,أين المقهى ؟,adv_interrog noun punc,3
87,MSA,أريد جاكيت للأطفال .,أريد جاكيت للأطفال .,verb noun noun punc,4
89,MSA,اسمك مرة ثانية ؟,اسمك مرة ثانية ؟,noun noun adj punc,4
90,MSA,هل مستر برون هناك ؟,هل مستر برون هناك ؟,part_interrog noun noun_prop adv punc,5
91,MSA,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,noun punc verb_pseudo verb noun_num noun_num noun prep noun adj noun_num noun prep noun adj punc,16
92,MSA,هل يمكن أن أؤجر قارب ليوم ؟,هل يمكن أن أؤجر قارب ليوم ؟,part_interrog verb conj_sub verb noun noun punc,7
93,MSA,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,prep pron_interrog noun verb conj_sub verb noun noun punc,9
94,MSA,ما هذا ؟,ما هذا ؟,pron_interrog pron_dem punc,3
96,MSA,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,part_interrog verb conj_sub verb adv_interrog verb conj_sub verb prep noun_prop punc,11
97,MSA,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,part_interrog verb adj noun adj noun noun prep noun adj part_voc adj punc,13
98,MSA,من فضلك اتبع التعليمات الصادرة من موظفينا .,من فضلك اتبع التعليمات الصادرة من موظفينا .,prep noun verb noun adj prep noun punc,8
100,MSA,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,part_interrog verb adv noun adj noun noun prep adv punc,10
102,MSA,املأ خزان الوقود من فضلك .,املأ خزان الوقود من فضلك .,verb noun noun prep noun punc,6
103,MSA,هل يوجد غرفة بسعر أرخص ؟,هل يوجد غرفة بسعر أرخص ؟,part_interrog verb noun noun adj punc,6
104,MSA,أفضل سيارة بها نظام إلي لنقل الحركة .,أفضل سيارة بها نظام إلي لنقل الحركة .,verb noun prep noun prep noun noun punc,8
105,MSA,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,verb prep noun noun adj noun noun_prop punc,8
106,MSA,ما هو سعر الصرف اليوم ؟,ما هو سعر الصرف اليوم ؟,pron_interrog pron noun noun noun punc,6
108,MSA,أعاني بشكل مزمن من الربو .,أعاني بشكل مزمن من الربو .,verb noun adj prep noun punc,6
109,MSA,معي حوالي ثلاثة آلاف دولاراً .,معي حوالي ثلاثة آلاف دولاراً .,prep noun_quant noun noun noun punc,6
111,MSA,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟,interj punc noun punc part_verb verb noun noun adj conj noun noun noun punc pron_interrog verb punc,17
112,MSA,كيف أصل إلى ذلك المكان ؟,كيف أصل إلى ذلك المكان ؟,adv_interrog verb prep pron_dem noun punc,6
113,MSA,أي نوع من القصص هي ؟,أي نوع من القصص هي ؟,pron_interrog noun prep noun pron punc,6
115,MSA,ثلاث مرات .,ثلاث مرات .,noun_num noun punc,3
116,MSA,أي نافذة تبيع الطوابع ؟,أي نافذة تبيع الطوابع ؟,pron_interrog noun verb noun punc,5
117,MSA,بعد أن هاجمني ، هرب في شاحنة بيضاء .,بعد أن هاجمني ، هرب في شاحنة بيضاء .,noun conj_sub verb punc verb prep noun adj punc,9
119,MSA,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,noun punc prep noun verb pron_dem noun verb adv verb noun punc,12
120,MSA,كنت سأشتري هذا إن كنت في مكانك ؟,كنت سأشتري هذا إن كنت في مكانك ؟,verb verb pron_dem conj verb prep noun punc,8
122,MSA,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,noun noun punc adj conj prep noun adj punc,9
125,MSA,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,adv_interrog prep noun verb noun noun pron_dem noun punc,9
128,MSA,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,part_interrog prep conj_sub verb noun adj prep noun prep noun noun pron_dem noun punc,14
129,MSA,هل لديك أحذية حريمي عند أصابع القدم ؟,هل لديك أحذية حريمي عند أصابع القدم ؟,part_interrog prep noun adj prep noun noun punc,8
130,MSA,هل ستواجهني أية صعوبات في الجمارك ؟,هل ستواجهني أية صعوبات في الجمارك ؟,part_interrog verb pron_interrog noun prep noun punc,7
131,MSA,هل لي ببعض النبيذ الأحمر ؟,هل لي ببعض النبيذ الأحمر ؟,part_interrog prep adj noun adj punc,6
133,MSA,أخبرني عندما نصل إلى المتحف .,أخبرني عندما نصل إلى المتحف .,verb conj_sub verb prep noun punc,6
134,MSA,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,part_interrog verb pron_dem noun prep noun noun_prop punc,8
135,MSA,إلى أي شيء وصل ذلك الأمر ؟,إلى أي شيء وصل ذلك الأمر ؟,prep part noun verb pron_dem noun punc,7
136,MSA,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,pron_dem adj noun adj punc part_interrog verb conj_sub verb noun punc,11
138,MSA,فقط دش يكفي .,فقط دش يكفي .,adv noun verb punc,4
139,MSA,عيني محمرة قليلا .,عيني محمرة قليلا .,noun adj adj punc,4
140,MSA,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,part_neg punc part_interrog prep conj_sub verb verb noun noun noun noun adj punc pron prep adj punc,17
142,MSA,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,part_neg verb noun pron_dem conj verb adj noun punc,9
143,MSA,أريد تمويج متقارب لشعري ، من فضلك .,أريد تمويج متقارب لشعري ، من فضلك .,verb noun adj noun punc prep noun punc,8
144,MSA,كان البحر إلى الأسفل من بعيد .,كان البحر إلى الأسفل من بعيد .,verb_pseudo noun prep adj prep adj punc,7
145,MSA,هي تريد بيرة .,هي تريد بيرة .,pron verb noun punc,4
146,MSA,أنت بحاجة إلى إجراء عملية .,أنت بحاجة إلى إجراء عملية .,pron noun prep noun noun punc,6
147,MSA,المزيد من البيض من فضلك .,المزيد من البيض من فضلك .,adj prep noun prep noun punc,6
148,MSA,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟,adv_interrog noun noun adj prep noun noun punc,8
149,MSA,سيارة أجرة ؟,سيارة أجرة ؟,noun noun punc,3
151,MSA,ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .,ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .,pron_dem pron noun punc part_voc noun punc noun noun_num noun_num noun_num noun_num punc,13
153,MSA,أحب الجاكت الخاص بك .,أحب الجاكت الخاص بك .,verb noun adj prep punc,5
154,MSA,استمر .,استمر .,verb punc,2
155,MSA,ها نحن قد وصلنا هذا هو فندقك .,ها نحن قد وصلنا هذا هو فندقك .,pron_dem pron part_verb verb pron_dem pron noun punc,8
156,MSA,متى بدأت مباراة كرة السلة ؟,متى بدأت مباراة كرة السلة ؟,adv_interrog verb noun noun noun punc,6
157,MSA,صباح الخير . كيف حالك .,صباح الخير . كيف حالك .,noun noun punc adv_interrog noun punc,6
158,MSA,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,noun conj_sub noun prep conj_sub verb prep noun_quant noun noun noun punc,12
159,MSA,ماذا كان انطباعك ؟,ماذا كان انطباعك ؟,pron_interrog verb_pseudo noun punc,4
160,MSA,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟,adv punc part_interrog verb prep noun noun prep noun conj prep pron_dem punc,13
161,MSA,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,conj verb noun adj noun noun_num noun_num adv prep noun_prop punc,11
162,MSA,أود إجراء مكالمة دولية ، من فضلك ؟,أود إجراء مكالمة دولية ، من فضلك ؟,verb noun noun adj punc prep noun punc,8
0,Beirut,هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.,هوي بأخر الصالة . رح جبلك شوي هلأ . إذا بدك شي تاني ، بس عطيني خبر .,pron adj noun punc part_fut verb adj adv punc conj_sub verb noun adj punc adv verb noun punc,18
2,Beirut,بتعمل تعديلات؟,بتعمل تعديلات ؟,verb noun punc,3
4,Beirut,بدنا طاولة حد الشباك .,بدنا طاولة حد الشباك .,verb noun noun noun punc,5
5,Beirut,صار هونيك، بالظبط قدام مكتب استعلامات السياح.,صار هونيك ، بالظبط قدام مكتب استعلامات السياح .,verb adv punc adv prep noun noun noun punc,9
9,Beirut,بعمري ما سمعت بهالعنوان هون .,بعمري ما سمعت بهالعنوان هون .,noun part_neg verb noun adj punc,6
11,Beirut,روح دغري لحتى تشوف صيدلية.,روح دغري لحتى تشوف صيدلية .,verb adv conj_sub verb noun punc,6
12,Beirut,شو هوي أجد لون لهالموسم؟,شو هوي أجد لون لهالموسم ؟,pron_interrog pron adj noun noun punc,6
14,Beirut,بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.,بحالتي ، عادة بيكون شغل ، وقليل ليكون كرمال الترفيه .,noun punc adv verb noun punc adv verb prep noun punc,11
15,Beirut,رح إبقى يومين.,رح إبقى يومين .,part_fut verb noun punc,4
16,Beirut,بدي كيرلي ضيق.,بدي كيرلي ضيق .,verb noun adj punc,4
17,Beirut,حابب إحجز أوضتين بتختين.,حابب إحجز أوضتين بتختين .,verb verb noun noun punc,5
18,Beirut,ما بدي ياه منزوع.,ما بدي ياه منزوع .,part_neg verb pron adj punc,5
19,Beirut,هيدا الباص بيوقف بشارع ستونر؟,هيدا الباص بيوقف بشارع ستونر ؟,pron_dem noun verb noun noun_prop punc,6
24,Beirut,عمول معروف فتاح تمك عالواسع.,عمول معروف فتاح تمك عالواسع .,verb noun verb noun adv punc,6
26,Beirut,أدي حق الترويقة؟,أدي حق الترويقة ؟,adv_interrog noun noun punc,4
27,Beirut,كيف فيني ساعدك؟,كيف فيني ساعدك ؟,adv_interrog prep verb punc,4
29,Beirut,تعوا ناكل لقمة.,تعوا ناكل لقمة .,verb verb noun punc,4
30,Beirut,روح شمال عالزاوية التالتة.,روح شمال عالزاوية التالتة .,verb adv noun adj punc,5
31,Beirut,بتنضف هالتياب؟,بتنضف هالتياب ؟,verb noun punc,3
37,Beirut,أنا بعطيك رقم تلفونو و عنوانو.,أنا بعطيك رقم تلفونو و عنوانو .,pron verb noun noun conj noun punc,7
38,Beirut,أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.,أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل .,pron verb noun noun conj noun noun prep noun punc,10
40,Beirut,عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟,عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة ؟,verb prep noun adj conj adj noun punc verb prep noun noun punc,13
42,Beirut,إذا كسرته، تشتريه.,إذا كسرته ، تشتريه .,conj_sub verb punc verb punc,5
46,Beirut,رح قلا تدقلك شي إنو ترجع.,رح قلا تدقلك شي إنو ترجع .,part_fut verb verb noun conj_sub verb punc,7
50,Beirut,عبالك كريمة و سكر بقهوتك؟,عبالك كريمة و سكر بقهوتك ؟,noun noun conj noun noun punc,6
51,Beirut,هيي عنجد منصابة.,هيي عنجد منصابة .,pron adv noun punc,4
52,Beirut,بدي قداحة.,بدي قداحة .,verb noun punc,3
53,Beirut,هالأوتيل عندو تجهيزات لمؤتمر؟,هالأوتيل عندو تجهيزات لمؤتمر ؟,noun prep noun noun punc,5
56,Beirut,معليش إذا أخدنا وجبة خفيفة؟,معليش إذا أخدنا وجبة خفيفة ؟,interj conj_sub verb noun adj punc,6
57,Beirut,عمبتصل من المطار . رح كون هونيك حوالي الأربعة.,عمبتصل من المطار . رح كون هونيك حوالي الأربعة .,verb prep noun punc part_fut verb adv noun_quant noun_num punc,10
62,Beirut,وين بنقل على شيكاغو؟,وين بنقل على شيكاغو ؟,adv_interrog verb prep noun_prop punc,5
63,Beirut,أدي حق رسالة مسجلة لتنبعت على فرنسا؟,أدي حق رسالة مسجلة لتنبعت على فرنسا ؟,pron_interrog noun noun adj verb prep noun_prop punc,8
64,Beirut,فيك تصرفلي الشيك تبعي تبع المتين دولار؟,فيك تصرفلي الشيك تبعي تبع المتين دولار ؟,prep verb noun noun prep noun_num noun punc,8
68,Beirut,عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.,عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع .,adv adj noun noun noun prep noun punc,8
69,Beirut,الممثل عنجد بيعقد.,الممثل عنجد بيعقد .,noun adv verb punc,4
72,Beirut,وين القسم تبعك اللي مش خيالي؟,وين القسم تبعك اللي مش خيالي ؟,adv_interrog noun noun pron_dem part_neg adj punc,7
74,Beirut,إذا لازم يبين، عمل معروف دقلي.,إذا لازم يبين ، عمل معروف دقلي .,conj_sub verb verb punc verb noun verb punc,8
78,Beirut,فيك تغيرلي مقعدي؟,فيك تغيرلي مقعدي ؟,prep verb noun punc,4
79,Beirut,في كقالة؟,في كقالة ؟,prep noun punc,3
83,Beirut,بعتذر، رح إهتم بالكلب.,بعتذر ، رح إهتم بالكلب .,verb punc part_fut verb noun punc,6
84,Beirut,"بدي بطاقتين لل ""بسينات""، لهالخميس.","بدي بطاقتين لل "" بسينات "" ، لهالخميس .",verb noun prep punc noun_prop punc punc noun punc,9
86,Beirut,وين القهوة؟,وين القهوة ؟,adv_interrog noun punc,3
87,Beirut,بدي كنزة للولاد.,بدي كنزة للولاد .,verb noun noun punc,4
89,Beirut,إسمك مرة تاني؟,إسمك مرة تاني ؟,noun noun adj punc,4
90,Beirut,إستاذ براون هون؟,إستاذ براون هون ؟,noun noun_prop adj punc,4
91,Beirut,أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.,أوك ، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص .,noun punc verb noun_num conj noun_num noun noun adj prep noun_num noun adv noun noun adj punc,17
92,Beirut,فيني إستأجر يخت ليوم واحد؟,فيني إستأجر يخت ليوم واحد ؟,part_interrog verb noun noun noun_num punc,6
93,Beirut,عأي شباك فيني إحجز؟,عأي شباك فيني إحجز ؟,noun_quant noun prep verb punc,5
94,Beirut,شو هيدا؟,شو هيدا ؟,part_interrog pron_dem punc,3
96,Beirut,فيك تقلي كيف بوصل عالأوبيرا؟,فيك تقلي كيف بوصل عالأوبيرا ؟,prep verb adv_interrog verb noun_prop punc,6
97,Beirut,ما كنت مبارح سكران شوي، حبيبي؟,ما كنت مبارح سكران شوي ، حبيبي ؟,part_neg verb noun adj noun punc noun punc,8
98,Beirut,اذا بتريد لحاق التعليمات من فريقنا .,اذا بتريد لحاق التعليمات من فريقنا .,conj_sub verb noun noun prep noun punc,7
100,Beirut,في محل شامل قريب من هون؟,في محل شامل قريب من هون ؟,prep noun adj adj prep adv punc,7
102,Beirut,فولا، إذا بتريد.,فولا ، إذا بتريد .,interj punc conj_sub verb punc,5
103,Beirut,في أوضة أرخص؟,في أوضة أرخص ؟,prep noun adj punc,4
104,Beirut,بفضل سيارة أوتوماتيك.,بفضل سيارة أوتوماتيك .,verb noun adj punc,4
105,Beirut,رح إبقى بالفوا ييه تبع جامعة هارفرد.,رح إبقى بالفوا ييه تبع جامعة هارفرد .,part_fut verb noun noun prep noun noun_prop punc,8
106,Beirut,شو هوي المعدل تبع اليوم؟,شو هوي المعدل تبع اليوم ؟,part_interrog pron noun prep noun punc,6
108,Beirut,عندي ربو مزمن.,عندي ربو مزمن .,prep noun adj punc,4
109,Beirut,معي حوالي تلات تلاف دولار.,معي حوالي تلات تلاف دولار .,prep noun_quant noun_num noun noun punc,6
111,Beirut,ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟,ماشي ، إستاذ . بيجي معو بطاطا مقلية أو رز بالبيلاف . أياهن بتحب ؟,interj punc noun punc verb prep noun adj conj noun noun punc pron_interrog verb punc,15
112,Beirut,كيف بوصل لهالمطرح؟,كيف بوصل لهالمطرح ؟,adv_interrog verb noun punc,4
113,Beirut,شو نوع القصة؟,شو نوع القصة ؟,part_interrog noun noun punc,4
115,Beirut,تلات مرات.,تلات مرات .,noun_num noun punc,3
116,Beirut,أي شباك ببيع طوابع؟,أي شباك ببيع طوابع ؟,adv_interrog noun verb noun punc,5
117,Beirut,من بعد ما هاجمني، ساق لبعيد بفان أبيض.,من بعد ما هاجمني ، ساق لبعيد بفان أبيض .,prep noun conj_sub verb punc verb adj noun adj punc,10
